PRICEGROUP,SUBSIDIARYID,PRICERULEID,PRODUCTID
TONER-HP-ATTACHED,1,2,614810
LES-SEG-MID,1,2,413110
INK-OTHER-PRIMARY,1,2,673019
TONER-OTHER-PRIMARY,1,2,693943
INK-OTHER-PRIMARY,1,2,73280
INK-OTHER-ATTACHED,1,2,227661
TONER-HP-ATTACHED,1,2,685857
TONER-OTHER-ATTACHED,1,2,325846
TONER-OTHER-ATTACHED,1,2,325849
TONER-HP-PRIMARY,1,2,117131
TONER-OTHER-PRIMARY,1,2,325850
TONER-HP-ATTACHED,1,2,137405
TONER-HP-ATTACHED,1,2,137407
LES-SEG-HOOG,1,2,688493
INK-OTHER-ATTACHED,1,2,107586
INK-OTHER-ATTACHED,1,2,107587
SCAN-LAAG,1,2,365352
TONER-HP-ATTACHED,1,2,137406
TONER-OTHER-ATTACHED,1,2,606571
IPS-SEG-MID2,1,1,530039
TONER-OTHER-ATTACHED,1,2,110148
TONER-OTHER-PRIMARY,1,2,132027
LES-SEG-HOOG,1,2,685110
INK-OTHER-ATTACHED,1,2,20475
TONER-OTHER-ATTACHED,1,2,475288
TONER-OTHER-ATTACHED,1,2,475289
TONER-OTHER-ATTACHED,1,2,475290
INK-OTHER-ATTACHED,1,2,107585
TONER-OTHER-ATTACHED,1,2,543546
INK-HP-ATTACHED,1,2,721598
TONER-OTHER-ATTACHED,1,2,125374
LES-SEG-LAAG,1,1,106306
INK-OTHER-ATTACHED,1,2,607635
TONER-HP-PRIMARY,1,2,80447
INK-OTHER-ATTACHED,1,2,20472
TONER-HP-ATTACHED,1,2,202732
INK-OTHER-PRIMARY,1,2,607620
LES-SEG-HOOG,1,2,235755
INK-OTHER-ATTACHED,1,2,127530
TONER-OTHER-PRIMARY,1,2,461548
INK-HP-PRIMARY,1,2,468658
LES-SEG-LAAG,1,1,106309
LES-SEG-HOOG,1,2,417080
LES-SEG-LAAG,1,1,596541
TONER-OTHER-ATTACHED,1,2,52802
TONER-HP-PRIMARY,1,2,346614
LES-SEG-MID,1,2,485517
TONER-HP-ATTACHED,1,2,459030
INK-OTHER-ATTACHED,1,2,575791
INK-OTHER-ATTACHED,1,2,575805
INK-OTHER-ATTACHED,1,2,575781
INK-OTHER-ATTACHED,1,2,575666
INK-HP-ATTACHED,1,2,53767
INK-OTHER-PRIMARY,1,2,607624
LES-SEG-HOOG,1,2,688498
INK-OTHER-ATTACHED,1,2,575802
TONER-OTHER-ATTACHED,1,2,87627
SCAN-LAAG,1,2,365458
SCAN-LAAG,1,2,200480
IPS-BSINK,1,1,198610
LES-SEG-HOOG,1,2,567113
TONER-OTHER-ATTACHED,1,2,124955
INK-OTHER-PRIMARY,1,2,470000
INK-OTHER-ATTACHED,1,2,61218
INK-OTHER-PRIMARY,1,2,518089
INK-OTHER-PRIMARY,1,2,607656
INK-HP-ATTACHED,1,2,721607
TONER-OTHER-PRIMARY,1,2,61715
TONER-HP-PRIMARY,1,2,227385
INK-HP-ATTACHED,1,2,468690
INK-OTHER-ATTACHED,1,2,75638
IPS-SEG-HOOG,1,2,664550
TONER-OTHER-ATTACHED,1,2,573303
TONER-OTHER-ATTACHED,1,2,71525
SCAN-LAAG,1,2,412274
INK-HP-ATTACHED,1,2,660167
TONER-OTHER-PRIMARY,1,2,532284
TONER-OTHER-ATTACHED,1,2,62562
INK-OTHER-PRIMARY,1,2,227699
TONER-HP-ATTACHED,1,2,73386
TONER-OTHER-PRIMARY,1,2,532395
TONER-HP-ATTACHED,1,2,346664
